name,glass,ice,category,ingredients,instructions
Inca,Highball,Full Ice,Stirred,"Inca 60ml, Sour mix 60ml, Lime 1wedge, Club soda top","Pour ice, inca, sour mix, lime and club soda into glass. Stir."
Diablo,Highball,Full Ice,Shaken,"Tequila 25ml, Cassis liqueur 55ml, Lime Half, Ginger ale top","Cut half lime into thirds, then again into thirds (total 9 pieces). Pour into shaker, muddle. Add tequila, cassis liqueur, and ice. Shake, pour into glass, top with ginger ale."
Whisky Sour,Whisky,Full Ice,Shaken,"Whisky 60ml, Sour mix 40ml","Pour whisky, sour mix and ice into shaker. Shake and pour into glass."
Southern Comfort Orange,Highball,Full Ice,Stirred,"Southern Comfort 60ml, Orange juice top","Pour ice, Southern Comfort and orange juice into glass. Stir."
Southern Comfort Ginger Ale,Highball,Full Ice,Stirred,"Southern Comfort 60ml, Orange juice top, Lime 1wedge","Pour ice, Southern Comfort, lime and ginger ale into glass. Stir."
Coconut Sunset,Highball,Full Ice,Stirred,"White rum 20ml, Malibu 40ml, Orange juice 40ml, Grenadine syrup 10ml, Club soda top","Put a spoon into glass. Pour ice, white rum, malibu and orange juice, and stir. Add grenadine syrup, and club soda."
Margarita,Margarita,Strained,Shaken,"Tequila 50ml, Cointreau 25ml, Sour mix 25ml","Rim the glass with salt. In a shaker, pour tequila, cointreau, sour mix and ice. Shake and strain into glass. Garnish with a wedge of lime."
Fireball Soda,Highball,Full Ice,Stirred,"Fireball 60ml, Lime 1wedge, Club soda top","Pour ice, fireball, lime and club soda into glass. Stir."
Hot Toddy,Tin/ 铁杯,None,Stirred,"Honey 15ml, Whisky 80ml, Lime 2wedges, Warm water top.","Take a ceramic mug, pour water in and put in kitchen microwave for 2 min. In the tin cup, pour honey, whisky and warm water. Squeeze the first wedge of lime and discard. Throw in second lime into cup and stir."
Hendrick's Tonic Cucumber,Virgin,Full Ice,Stirred,"Hendrick's gin 50ml, Cucumber 6/7slices, Tonic top","Cut cucumber slices, pour ice, Hendrick's and tonic into glass. Stir."
Jack Daniel's Coke,Highball,Full Ice,Stirred,"Jack Daniel's 60ml, Coke top","Pour ice, Jack Daniel's and coke into glass. Stir."
Jameson Coke,Highball,Full Ice,Stirred,"Jameson 60ml, Coke top","Pour ice, Jameson and coke into glass. Stir."
Jameson Ginger Ale,Highball,Full Ice,Stirred,"Jameson 60ml, Lime 1wedge, Ginger ale top","Pour ice, Jameson, lime wedge and ginger ale into glass. Stir."
Disaronno Ginger Ale,Highball,Full Ice,Stirred,"Disaronno 60ml, Lime 1wedge, Ginger ale top","Pour ice, Disaronno, lime wedge and ginger ale into glass. Stir."
White Russian,Whisky,Full Ice,Shaken,"Vodka 40ml, Bailey's 30ml, Kahlua 20ml","Pour Vodka, Bailey's, Kahlua and ice into shaker. Shake and pour into glass."
Sloe Gin Fizz,Highball,Full Ice,Shaken,"Sloe gin 60ml, Lime juice 1half, Club soda top","Pour sloe gin, lime juice and ice into shaker. Shake, pour into glass, top with club soda. Stir."
Vodka Red Bull,Long Island,Full Ice,Stirred,"Vodka 60ml, Red Bull top","Pour ice, vodka and Red Bull into glass. Stir."
Jager Red Bull,Long Island,Full Ice,Stirred,"Jager 60ml, Red Bull top","Pour ice, Jager and Red Bull into glass. Stir."
Mojito,Mojito,Crushed Ice,Stirred,"White rum 60ml, White sugar 1tsp, Golden sugar 1tsp, Lime 1half, Mint leaves 8(big) / 12(small), Club soda 30ml","Slap mint leaves and put into glass. Cut half a lime into thirds, then again into thirds (total 9 pieces) and put into glass. Add white and golden sugar into glass. Muddle. Pour white rum, and put spoon and straw into glass. Crush ice, add 2 spoons to glass, pour club soda, and stir. Top with crushed ice. Slap a head of mint and garnish glass with it."
Vodka Martini Dry,Martini,Strained,Stirred,"Vodka 60ml, Martini dry vermouth 15ml",Put glass into freezer. Pour vodka and dry vermouth into shaker with ice. Stir for ~10 seconds. Double strain into glass. Express a lime peel and garnish the glass with it. 
Gin Martini Dry,Martini,Strained,Stirred,"Gin 60ml, Martini dry vermouth 15ml",Put glass into freezer. Pour gin and dry vermouth into shaker with ice. Stir for ~10 seconds. Double strain into glass. Express a lime peel and garnish the glass with it. 
New York Sour,Whisky,Full Ice,Shaken,"Whisky 40ml, Sour mix 40ml, Red wine 40ml","Pour whisky, sour mix and ice into shaker. Shake and pour into glass. Top with LAYERED red wine."
Godfather,Whisky,Full Ice,Stirred,"Jameson 60ml, Disaronno 30ml","Pour ice, Jameson and Disaronno into glass. Stir."
Cosmopolitan,Margarita,Strained,Shaken,"Vodka 45ml, Cointreau 15ml, Sour mix 15ml, Cranberry juice 30ml","Pour vodka, cointreau, sour mix, cranberry juice and ice into shaker. Shake and strain into glass. "
Grasshopper,Margarita,Strained,Shaken,"White cocoa liqueur 30ml, Mint liqueur 30ml, Bailey's 30ml","Pour white cocoa liqueur, mint liqueur, Bailey's and ice into shaker. Shake and double strain into glass."
Long Island,Long Island,Full Ice,Stirred,"Gin 15ml, Tequila 15ml, Vodka 15ml, White rum 15ml, Triple sec 15ml, Sour mix 30ml, Coke top",Pour ice and all ingredients into glass. Stir.
Adios,Long Island,Full Ice,Stirred,"Gin 15ml, Tequila 15ml, Vodka 15ml, White rum 15ml, Blue curacao 15ml, Sour mix 30ml, 7UP top",Pour ice and all ingredients into glass. Stir.
Tokyo Tea,Long Island,Full Ice,Stirred,"Gin 15ml, Tequila 15ml, Vodka 15ml, White rum 15ml, Triple sec 15ml, Melon liqueur 15ml, Sour mix 20ml, 7UP top",Pour ice and all ingredients into glass. Stir.
Trashcan,Long Island,Full Ice,Stirred,"Gin 15ml, Vodka 15ml, White rum 15ml, Triple sec 15ml, Peach liqueur 15ml, Blue curacao 15ml, Red Bull top",Pour ice and all ingredients into glass. Stir.
Miao Nasui,Highball,Full Ice,Stirred,"Gin 20ml, Cassis liqueur 40ml, Lime 2wedges, Club soda top","Pour ice, gin and cassis liqueur into glass. Squeeze and put lime wedges into glass. Top with club soda and stir."
Passion Fizz,Highball,Full Ice,Stirred,"Vodka 50ml, Passion fruit syrup 30ml, Passion fruit juice, Club soda. ",Pour ice and all ingredients into glass. Stir and put a straw into glass.
Ursula,Highball,Full Ice,Stirred,"Peach liqueur 25ml, Red wine 55ml, Cranberry juice top",Pour ice and all ingredients into glass. Stir.
Tru Grape,Whisky,Full Ice,Shaken,"Vodka 40ml, Grape liqueur 30ml, Sour mix 20ml",Pour ingredients and ice into shaker. Shake and pour into glass.
Passion Summer,Highball,Full Ice,Stirred,"Vodka 30ml, Pineapple liqueur 30ml, Passion fruit juice 40ml, 7UP top",Pour ice and all ingredients into glass. Stir and put a straw into glass.
Zoe,Highball,Full Ice,Shaken,"Vodka 30ml, Grape liqueur 40ml, Elderflower liqueur 15ml, Lime 2 big wedges, Club soda top","Cut lime into halves. Put into shaker and muddle. Add Vodka, grape liqueur, elderflower liqueur and ice into shaker. Shake and pour into glass. Top with club soda and stir."
Cocomelon,Whisky,Full Ice,Shaken,"Melon liqueur 45ml, Malibu 20ml, Peach liqueur 15ml, Lime juice 1half, 7up splash","Pour melon liqueur, Malibu, peach liqueur, lime juice and ice into shaker. Shake and pour into glass. Top with a SPLASH of 7UP"
Guadalupe,Whisky,Full Ice,Shaken,"White rum 20ml, Captain Morgan 40ml, Passion fruit syrup 30ml, Lime juice 1half, Angostura bitters 3 dashes, Salt 1 dash, Club soda splash","Add white rum, Captain Morgan, passion fruit syrup, lime juice, Angostura bitters, salt and ice into shaker. Shake and pour into glass. Top with a SPLASH of club soda."
Tropical Breeze,Martini,Strained,Shaken,"Malibu 45ml, Melon liqueur 15ml, Pineapple juice 15ml",Put glass into freezer. Pour ingredients into shaker. Shake and double strain into glass.
Garden of Eden,Highball,Full Ice,Shaken,"Gin 40ml, Sour apple liqueur 30ml, Elderflower liqueur 10ml, Lime juice 1half, 7up top half, Club soda top half.","Pour gin, sour apple liqueur, elderflower liqueur, lime juice and ice into shaker. Shake and pur into glass. Top with half 7UP and half club soda. Stir."
Womanizer,Whisky,80% Ice,Shaken,"Cachaca51 30ml, Triple sec 20ml, Sour mix 20ml, Orange juice Splash","Rim the glass with plum powder. Pour Cachaca51, triple sec, sour mix and ice into shaker. Shake and pour into glass. Top with a SPLASH of orange juice."
